channel,Title,Views,Likes
MX79n1kjb58,Timelapse of Future Technology: Next 1000 Years,106374,4381
yv76f4RzNbo,&#39;Bloomberg Technology&#39; Full Show (06/20/2023),9770,116
-hxeDjAxvJ8,"Marc Andreessen: Future of the Internet, Technology, and AI | Lex Fridman Podcast #386",38754,1534
OcoZTDevwHc,"New CPU Technology just Arrived 🔥 IBM, Imec, Intel",69927,3662
nL3s4zfn8qk,&#39;Bloomberg Technology&#39; Full Show (06/16/2023),17722,153
jTX8MSw0Ufw,Top 10 Technologies To Learn In 2023 | Trending Technologies In 2023 | Simplilearn,594718,8626
PKATJiyz0iI,10 Coolest Gadgets and Inventions That Will Blow Your Mind,1306688,14189
1UEL6BiO14E,Technology is so Weird 😳,5712887,279251
7_Sc4pm2PL8,Technology of the Living: The Intelligence of Voice and Volition - MozFest House: Amsterdam,92,4
O9Qj4VaDsc8,The Winners and Losers of the AI Race,3654,58
lST54thCR3k,20 Emerging Technologies That Will Change Our World,891793,11375
5guiUrgcblM,The Danger of AI | Scary Technology | Artificial Intelligence | Documentary,547850,5164
ZSiXZxVpVhs,TOP 7 Technology Trends in 2023,214205,3935
R_ci--0RE7g,Ross Coulthart: &quot;The Technology Is Mind Blowing&quot;,23011,1230
S3Qz3HapNh0,China Just LAUNCHED Its Artificial Sun To Show It&#39;s TECHNOLOGICAL POWER!,318644,3595
t8Cziqv2pb8,Most Insane Military Technologies And Vehicles In The World,1456421,12473
F9ik09x627U,Technology is taking over #shorts,172208,18076
jEbN9_ZNOPM,Modern Technology in the Future #110,187,2
CeO-welYxLc,CHINA ADVANCED TECHNOLOGY In Urdu Hindi,501595,7298
Oa9aWdcCC4o,The World in 2050: Future Technology,2602712,36606
_TsonN7YIdA,20 Emerging Technologies That Will Change Our World,3617971,14599
YYB6dTOugVs,"Technology, not taxes",21247,2247
L84KWq-l0v4,प्राचीन Technology जो आपके होश उड़ा देगा | Ancient Proofs of Advance Civilizations or Aliens,177431,10131
JhHMJCUmq28,Quantum Computers Explained – Limits of Human Technology,17868109,432445
a_5btLCRR24,50 Cent - Ayo Technology (feat. Justin Timberlake &amp; Timbaland),1063509,12185
ZvXoRoXm8DU,Introduction about the subjects of AL technology | jobs related to the technology | Techsiyo,27364,1592
drqDViPAQtA,Chris Brown - Technology (Audio),2324938,30498
kJgB5ewIF8E,Perfect one for Smartphone 🔥🔥 #samsung #tech #technology #shorts_,123380,10641
E8Yoww7Oqp4,Three Charts to Signal A Top In Technology,7229,622
_pQV9XrKdFM,Technology moment 💀,621262,81058
psdWT7d6Hq4,Elon Musk On Carbon Capture Technology🌎 ( via @joerogan ) #shorts #elonmusk,456773,26101
D8K90hX4PrE,Daft Punk - Technologic (Official Video),34001881,384076
AkdrpnaOfYA,INCREDIBLE TECHNOLOGIES FOR THE URBAN ENVIRONMENT,322420,3259
l3pe_qx95E0,AMD Data Center &amp; AI Technology Premiere,67109,2181
6_q_LHq85Cs,How Life Will Look Like In 2050,848563,8211
pbJyQI-5e4c,Modern Farming Machines &amp; Technology for Increased Productivity ▶2,91173,683
-K7t46Op2us,Ancient Technologies That Were WAY Ahead Of Their Time,1330209,22346
EWVLeijPtok,End Times Sign of Technology | Nathan Jones,36212,2331
3g6a5DIm778,இந்த Gadget ல இவ்வளவு வசதி இருக்கா! #shorts  #viral #technology,6653258,329043
avmR18ydH7o,WHY IS TECHNOLOGY COOLER IN JAIL?!?,4679007,231990
XknAkTgMtPE,What frontend framework should you use!? 👩‍💻 #tech #programming #technology #code #software,69923,4657
cbNwmt7kstk,Scientists Still Can&#39;t Explain This Ancient Technology,201451,3542
tMdFGrnp5XI,Elon Musk delivers speech at VivaTech,406564,7271
T0GCpeJjCOw,15 Emerging Technologies That Will Change the Future,230467,3032
prWc0gKGtKs,Apple इतना क्यों तपाते हो customer को 😱😲। #shorts #technology #trending #viral #ytshorts #iphone,16836601,
od2YTytKOzE,do we Lose our technology if a catastrophe happens ?..#elonmusk,1151919,57687
LjArI1KaA_0,&#39;Bloomberg Technology&#39; Full Show (05/30/2023),9499,155
9-XJE9WJEGg,Technology is Power...,3095372,268061
Qns_mXN1WYY,&#39;Bloomberg Technology&#39; Full Show (06/14/2023),13264,151
tMBmKAqY0C8,What keyboard sounds the best!? 👩‍💻 #code #programming #technology #tech #software #developer,38639,1678