Channel,Title ,View Count,Like Count
1fC0uj8HmWo,22 Jun Current Affairs 2023 | Daily Current Affairs | Current Affairs Today,8511,1243
WOeH_8p0Mfs,The Hindu Newspaper Analysis | 21 June 2023 | Current Affairs Today | UPSC Editorial Analysis,28536,1412
lAS1S2vyM6o,El Nino - To The Point | UPSC Current Affairs | Drishti IAS,5945,927
iwf3wFSELaA,Today’s GK – 21 June 2023 | UPSC Current Affairs | Drishti IAS,12392,1203
Q2zWRspv58A,The Hindu Newspaper Analysis | 22 June 2023 | Current Affairs Today | UPSC Editorial Analysis,5586,598
uIFU2UtiWYk,Race to rescue missing Titanic sub as experts question what went wrong | A Current Affair,676222,6201
2cJ9dLP_CFI,22 June 2023 Current Affairs | Daily Current Affairs June Current Affairs 2023 Current Affairs Today,7919,2086
OH7YFUerrkU,20 June 2023 Current Affairs | Current Affairs Today | Current Affairs,64879,7537
R5BnQffxlMc,"Threat of Cyclone Beeperjoy averted, what is the current situation on Kety Bander? - Aaj News",90,1
Y7JRdVT9rz8,Current News Bulletin (9-15 June 2023) । Weekly Current Affairs । UPSC Current Affairs 2023,22913,1733
RLQVMF4rtww,Family &#39;disgusted&#39; after camera records mum&#39;s treatment at aged care home | A Current Affair,57329,1280
o369SmBLPqo,18-19June 2023 Current Affairs | Current Affairs Today | Current Affairs,69414,8841
7DwLGaDbhBA,20 June 2023 Current Affairs | Daily Current Affairs (1190) | Important Questions | Kumar Gaurav Sir,547076,61494
H9U6XEJI-Eg,आज 21 JUNE की सारी Breaking News &amp; Current Affairs - By Rajesh Kumar | FactTechz,202462,17573
ivwW7pXx0W8,Today’s GK – 20 June 2023 | UPSC Current Affairs | Drishti IAS,16328,1466
q9oeGJqGs-g,22 June 2023 Current Affairs by GK Today | GKTODAY Current Affairs - 2023,1848,216
nnDNIVquXyk,"UNTV 24/7 STREAM: News &amp; Current Affairs, Breaking, Rescue, and Public Service",467298,3092
8S4W1FpcY1w,1-15 June 2023 Current Affairs Revision | 50+ Most Important Questions | Kumar Gaurav Sir,472075,48988
ImkjOL8f8oc,Important News Analysis 21 June 2023 | The Hindu Analysis | Daily Current Affairs for UPSC by Veer,34871,3952
qlIf7tXW6Q4,21 June 2023 Current Affairs | Daily Current Affairs June Current Affairs 2023 Current Affairs Today,15178,2856
XkPhTqNRI5Y,21 June 2023 Current Affairs | Current Affairs Today | Daily Current Affairs | GK | Crazy Gk Trick,16612,1617
4MxW8Cbn60s,"Current News Bulletin (2-8 June, 2023) । Weekly Current Affairs । UPSC Current Affairs 2023",23918,1719
RwuYFYdklqk,22 June 2023 | Current Affairs Today 569 | Daily Current Affairs In Hindi  | Raja Gupta Shorts,12363,1516
nmGrmZRGE20,Most Important Questions of 2022 | Competitive Exams | Current Affairs Wrap Up,528048,27032
LYqiOXqW_o8,20 June 2023 Current Affairs | Daily Current Affairs | GK Question &amp; Answer by Ashutosh Tripathi,36709,4050
hLrhCiMjpuw,Showdown looms as aged care villagers refuse to be evicted | A Current Affair,46713,399
fvBjlhkZi_w,"Current News Bulletin (5 -11 May, 2023)। Weekly Current Affairs । UPSC Current Affairs 2023",27045,1740
vO0xUKIJA6Y,"Monster buy-now, pay-later debt has pensioner terrified | A Current Affair",18164,369
nxvoumdbkpk,23 May करेंट अफेयर्स | Daily Current Affairs 2023 | All Exams (1015) | Sanmay Prakash,41671,3817
44Lj4xGOHyo,19 - 20 Jun Current Affairs 2023 | Daily Current Affairs | Current Affairs Today,18896,1460
tmY9CRqAAaQ,Family &#39;destroyed&#39; by deportation news | A Current Affair,41270,597
0VvIYS1uMmg,17 Jun Current Affairs 2023 | Daily Current Affairs | Current Affairs Today,23754,1599
qhJ7MQNv8Lo,Important News Analysis 22 June 2023 | The Hindu Analysis | Daily Current Affairs for UPSC by Veer,15534,3171
dF9vAcKpHGA,11 Jun Current Affairs 2023 | Daily Current Affairs | Current Affairs Today,29928,1780
2TAgeOLWIQU,19 June 2023 Current Affairs | Daily Current Affairs (1189) | Important Questions | Kumar Gaurav Sir,595493,55675
PxZ6tj2J2Xo,22 June 2023 | Current Affairs Today | Daily Current Affairs by Krati Singh,13641,2331
zjJrfR43550,17 June 2023 Current Affairs | Current Affairs Today | Current Affairs,74173,9065
5GcSgJ9iHqs,Woman sentenced after gym crime spree | A Current Affair,112750,1019
8B96BOzHr9k,First Women in News 2023 | Current Affairs 2023 | चर्चित महिलाएं 2023 | Dewashish Sir,34841,2789
MDeFeD-FQHk,Today’s GK – 12 June 2023 | UPSC Current Affairs | Drishti IAS,26815,1906
VA1I62cO13E,Important News Analysis 20 June 2023 | The Hindu Analysis | Daily Current Affairs for UPSC by Veer,42601,4257
28uQHQTvUkg,Finance &amp; Economic News | Weekly Current Affairs 2023 | May 2023,6713,365
3ZVHOmm8iMA,BPSC Current Update | Bihar Current Affairs | BPSC Prelims Exam | DRISHTI PCS,3295,480
brB7lYvK7AA,20 June 2023 | The Hindu Newspaper Analysis | 20 June 2023 Current Affairs Today |Editorial Analysis,61796,4635
S0VgvBoAYn0,Family&#39;s plea for information after teen daughter ‘vanished’ | A Current Affair,81211,928
bjl44l9Wqs4,Famous Personalities (चर्चित व्यक्ति) 2023 🔥🔥Most important Questions | Current Affairs 2023 | GK GS,10513,680
-b4IekYKdoI,12 June 2023 Current Affairs | Current Affairs Today | Daily Current Affairs | GK | Crazy Gk Trick,15846,1335
tc-B1s6Cgq0,Best way to cover current affairs | IAS Srushti Jayant  Deshmukh | #heavenlbsnaa,2152837,174044
6nS0XaRWFUQ,Siri Fort In News | Current Affair in Hindi l UPSC 2024 | StudyIQ IAS Hindi,5745,454
zc1EIfLTrjQ,Current Affairs पढ़ने के लिए Newspaper की जरूरत नहीं | Dr. Vikas Divyakirti | #DrishtiIAS #UPSC #a1,157056,